"","celex","year","month","delegation.ratio","constraint.ratio","discretion.index"
"405","31984R0217",1984,1,0.0769230769230769,0,0.0769230769230769
"406","31984R0218",1984,1,0,0.166666666666667,0
"407","31984R0219",1984,1,0.0357142857142857,0.25,0.0267857142857143
"408","31984R0220",1984,1,0,0,0
"409","31984R0229",1984,1,0,0,0
"410","31985L0001",1985,1,0,0,0
"411","31985L0002",1985,1,0,0,0
"412","31985L0003",1985,1,0.0833333333333333,0,0.0833333333333333
"413","31985L0006",1985,1,0,0,0
"414","31985L0007",1985,1,0,0,0
"415","31985L0010",1985,1,0.333333333333333,0.166666666666667,0.277777777777778
"416","31985L0038",1985,1,0,0,0
"417","31985R0001",1985,1,0,0,0
"418","31985R0002",1985,1,0,0,0
"419","31985R0003",1985,1,0,0,0
"420","31985R0004",1985,1,0.181818181818182,0,0.181818181818182
"421","31985R0005",1985,1,0.0909090909090909,0,0.0909090909090909
"422","31985R0006",1985,1,0,0,0
"423","31985R0007",1985,1,0.05,0,0.05
"424","31985R0008",1985,1,0.037037037037037,0,0.037037037037037
"425","31985R0023",1985,1,0,0.25,0
"426","31985R0024",1985,1,0,0,0
"427","31985R0027",1985,1,0.277777777777778,0.0833333333333333,0.25462962962963
"428","31985R0028",1985,1,0.333333333333333,0,0.333333333333333
"429","31985R0036",1985,1,0,0,0
"430","31985R0037",1985,1,0,0,0
"431","31985R0050",1985,1,0,0,0
"432","31985R0059",1985,1,0,0,0
"433","31985R0060",1985,1,0.133333333333333,0,0.133333333333333
"434","31985R0061",1985,1,0.0625,0.0833333333333333,0.0572916666666667
"435","31985R0065",1985,1,0,0,0
"436","31985R0079",1985,1,0,0.0833333333333333,0
"437","31985R0080",1985,1,0,0.0833333333333333,0
"438","31985R0096",1985,1,0,0.0833333333333333,0
"439","31985R0097",1985,1,0,0.0833333333333333,0
"440","31985R0100",1985,1,0,0,0
"441","31985R0101",1985,1,0,0,0
"442","31985R0102",1985,1,0,0.166666666666667,0
"443","31985R0105",1985,1,0,0,0
"444","31985R0106",1985,1,0,0,0
"445","31985R0123",1985,1,0,0,0
"446","31985R0130",1985,1,0,0,0
"447","31985R0141",1985,1,0,0,0
"448","31985R0142",1985,1,0,0,0
"449","31985R0143",1985,1,0,0,0
"450","31985R0147",1985,1,0.111111111111111,0,0.111111111111111
"451","31985R0148",1985,1,0,0,0
"452","31985R0156",1985,1,0,0,0
"453","31985R0157",1985,1,0,0,0
"454","31985R0159",1985,1,0,0,0
"455","31985R0167",1985,1,0,0,0
"456","31985R0168",1985,1,0,0,0
"457","31985R0186",1985,1,0,0.0833333333333333,0
"458","31985R0201",1985,1,0,0,0
"459","31985R0202",1985,1,0,0,0
"460","31985R0203",1985,1,0,0,0
"461","31985R0210",1985,1,0,0,0
"462","31985R0211",1985,1,0,0,0
"463","31985R0212",1985,1,0,0,0
"464","31985R0219",1985,1,0,0,0
"465","31985R0220",1985,1,0,0,0
"466","31985R0226",1985,1,0,0,0
"467","31985R0227",1985,1,0,0,0
"468","31985R0228",1985,1,0,0,0
"469","31985R0229",1985,1,0,0,0
"470","31985R0230",1985,1,0,0,0
"471","31985R0231",1985,1,0,0,0
"472","31985R0237",1985,1,0.2,0,0.2
"473","31986R0007",1986,1,0,0,0
"474","31986R0009",1986,1,0,0,0
"475","31986R0011",1986,1,0,0,0
"476","31986R0023",1986,1,0,0,0
"477","31986R0024",1986,1,0,0,0
"478","31986R0031",1986,1,0,0,0
"479","31986R0053",1986,1,0,0,0
"480","31986R0060",1986,1,0,0,0
"481","31986R0066",1986,1,0,0,0
"482","31986R0067",1986,1,0,0,0
"483","31986R0090",1986,1,0,0,0
"484","31986R0096",1986,1,0,0,0
"485","31986R0104",1986,1,0,0,0
"486","31986R0112",1986,1,0,0.333333333333333,0
"487","31986R0113",1986,1,0,0.333333333333333,0
"488","31986R0114",1986,1,0,0.166666666666667,0
"489","31986R0119",1986,1,0,0,0
"490","31986R0123",1986,1,0,0,0
"491","31986R0130",1986,1,0,0,0
"492","31986R0139",1986,1,0,0,0
"493","31986R0142",1986,1,0.0555555555555556,0.0833333333333333,0.0509259259259259
"494","31986R0143",1986,1,0,0.0833333333333333,0
"495","31986R0163",1986,1,0,0,0
"496","31986R0164",1986,1,0.0833333333333333,0,0.0833333333333333
"497","31986R0165",1986,1,0,0,0
"498","31986R0193",1986,1,0,0,0
"499","31987L0018",1987,1,0.625,0.0833333333333333,0.572916666666667
"500","31987L0019",1987,1,0,0,0
"501","31987L0020",1987,1,0,0,0
"502","31987L0021",1987,1,0.2,0,0.2
"503","31987L0022",1987,1,0.125,0.0833333333333333,0.114583333333333
"504","31987L0053",1987,1,0.363636363636364,0,0.363636363636364
